Trial_ID,Experiment_Type,Target_Command,Voice_Input,SSVEP_Command,CCA_Max_Score,CCA_Accepted,Final_Executed_Command,Latency_sec
VOICE_ONLY_TAKEOFF_1,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.217
VOICE_ONLY_TAKEOFF_2,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.453
VOICE_ONLY_TAKEOFF_3,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.428
VOICE_ONLY_TAKEOFF_4,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.453
VOICE_ONLY_TAKEOFF_5,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,1.93
VOICE_ONLY_TAKEOFF_6,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.448
VOICE_ONLY_TAKEOFF_7,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.435
VOICE_ONLY_TAKEOFF_8,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.434
VOICE_ONLY_TAKEOFF_9,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,1.961
VOICE_ONLY_TAKEOFF_10,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,1.922
VOICE_ONLY_LAND_1,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.025
VOICE_ONLY_LAND_2,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.943
VOICE_ONLY_LAND_3,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.948
VOICE_ONLY_LAND_4,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.927
VOICE_ONLY_LAND_5,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.919
VOICE_ONLY_LAND_6,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.961
VOICE_ONLY_LAND_7,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.448
VOICE_ONLY_LAND_8,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.444
VOICE_ONLY_LAND_9,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.022
VOICE_ONLY_LAND_10,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.456
VOICE_ONLY_FORWARD_1,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.445
VOICE_ONLY_FORWARD_2,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.429
VOICE_ONLY_FORWARD_3,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.434
VOICE_ONLY_FORWARD_4,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.439
VOICE_ONLY_FORWARD_5,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.44
VOICE_ONLY_FORWARD_6,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,1.944
VOICE_ONLY_FORWARD_7,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.428
VOICE_ONLY_FORWARD_8,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.454
VOICE_ONLY_FORWARD_9,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.456
VOICE_ONLY_FORWARD_10,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.441
VOICE_ONLY_BACKWARD_1,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.976
VOICE_ONLY_BACKWARD_2,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.419
VOICE_ONLY_BACKWARD_3,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.444
VOICE_ONLY_BACKWARD_4,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.442
VOICE_ONLY_BACKWARD_5,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.454
VOICE_ONLY_BACKWARD_6,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.412
VOICE_ONLY_BACKWARD_7,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.439
VOICE_ONLY_BACKWARD_8,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,1.947
VOICE_ONLY_BACKWARD_9,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.451
VOICE_ONLY_BACKWARD_10,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.02
VOICE_ONLY_LEFT_1,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.925
